"","site","group","ws_cms.mean","ws_mms.mean","ws_ms.mean"
"72","C2","C2b_grp14",0.342912150439372,3.42912150439372,0.00342912150439372
"73","C2","C2b_grp15",1.12167169167719,11.2167169167719,0.0112167169167719
"74","C2","C2c_grp01",1.44440248617537,14.4440248617537,0.0144440248617537
"75","C2","C2c_grp02",1.94669348198308,19.4669348198308,0.0194669348198308
"76","C2","C2c_grp03",0.898571947422341,8.98571947422341,0.00898571947422341
"77","C2","C2c_grp04",1.34603750669686,13.4603750669686,0.0134603750669686
"78","C2","C2c_grp05",1.85552447726265,18.5552447726265,0.0185552447726265
"79","C2","C2c_grp06",1.69767610213541,16.9767610213541,0.0169767610213541
"80","C2","C2c_grp07",1.70246093218173,17.0246093218173,0.0170246093218173
"81","C2","C2c_grp08",1.95515989221169,19.5515989221169,0.0195515989221169
