river,group,length,width,circularity,solidity,area
upper_calder,C1A_grp07,4.593166667,3.175,0.352951307,0.9072592,477.4988333
upper_calder,C1A_grp07,4.804833333,3.280833333,0.537025786,0.919201635,485.4575
upper_calder,C1A_grp07,5.0165,3.767666667,0.750996206,0.958804418,624.6706667
upper_calder,C1A_grp07,4.995333333,3.280833333,0.566630096,0.908991428,527.4733333
upper_calder,C1A_grp07,4.995333333,3.344333333,0.406583757,0.943349488,556.1965
upper_calder,C1A_grp07,4.699,3.175,0.593705875,0.941711674,479.7848333
upper_calder,C1A_grp07,4.169833333,3.598333333,0.699288297,0.943455959,498.3268333
upper_calder,C1A_grp07,4.1275,3.302,0.695908357,0.951241751,463.7405
upper_calder,C1A_grp07,4.360333333,2.9845,0.59004928,0.953355611,434.7845
upper_calder,C1A_grp08,5.037666667,3.026833333,0.669795985,0.96848899,539.9616667
upper_calder,C1A_grp08,4.804833333,3.577166667,0.555986393,0.926311674,551.5821667
upper_calder,C1A_grp08,4.783666667,2.815166667,0.452859926,0.89430325,459.5495
upper_calder,C1A_grp08,4.5085,3.069166667,0.333611355,0.929617645,462.1318333
upper_calder,C1A_grp08,3.683,2.497666667,0.671381228,0.943729802,315.2351667
upper_calder,C1A_grp08,5.291666667,3.6195,0.644192627,0.949823914,599.4188333
upper_calder,C1A_grp08,4.699,3.048,0.503511127,0.938536502,464.7776667
upper_calder,C1A_grp08,4.572,2.54,0.389027693,0.835688314,384.3231667
upper_calder,C1A_grp08,3.704166667,3.069166667,0.397556903,0.911786582,389.2126667
upper_calder,C1A_grp08,4.233333333,3.344333333,0.418614692,0.923495894,466.5556667
upper_calder,C1A_grp09,4.3815,2.688166667,0.473088484,0.918240974,370.3743333
upper_calder,C1A_grp09,4.656666667,3.090333333,0.565266786,0.951405906,484.8648333
upper_calder,C1A_grp09,4.826,2.518833333,0.585628133,0.927027441,383.9845
upper_calder,C1A_grp09,4.6355,3.1115,0.443727214,0.918991935,482.4095
upper_calder,C1A_grp09,4.699,2.878666667,0.651841336,0.945894193,449.6011667
upper_calder,C1A_grp09,4.677833333,3.534833333,0.761208638,0.963745473,574.4845
upper_calder,C1A_grp09,3.725333333,2.8575,0.683529012,0.94672247,354.3088333
upper_calder,C1A_grp09,4.106333333,2.751666667,0.371626909,0.857580313,326.0301667
upper_calder,C1A_grp09,4.720166667,3.323166667,0.66958821,0.962850135,515.1331667
upper_calder,C1A_grp09,3.8735,2.963333333,0.254831687,0.877878654,335.661
upper_calder,C1A_grp10,4.191,3.598333333,0.667169246,0.944773396,536.9983333
upper_calder,C1A_grp10,4.169833333,4.275666667,0.609760127,0.959297527,615.1033333
upper_calder,C1A_grp10,4.6355,3.132666667,0.528668617,0.93072705,499.3851667
upper_calder,C1A_grp10,4.847166667,3.471333333,0.575597691,0.949889792,583.7978333
upper_calder,C1A_grp10,3.4925,2.582333333,0.472351076,0.882024178,307.3188333
upper_calder,C1A_grp10,3.958166667,3.259666667,0.594932034,0.924133038,468.7358333
upper_calder,C1A_grp10,4.148666667,4.106333333,0.681417033,0.968099074,577.469
upper_calder,C1A_grp10,4.593166667,4.275666667,0.686532863,0.962095558,715.6238333
